bankId;cid;account
1;6757;PL88102024980000000000000849
1;6761;PL88102024980000000000000854
2;6761;PL88107719950000000000000856
3;6761;PL88107719960000000000000855
1;6764;PL88102024980000000000000864
1;6769;PL88102024980000000000000878
2;6769;PL88107719950000000000000879
3;6769;PL88107719960000000000000880
1;6770;PL88102024980000000000000881
2;6770;PL88107719950000000000000882
4;6770;PL88107719980000000000000883
1;6772;PL88102024980000000000000887
2;6772;PL88107719950000000000000888
1;6776;PL88102024980000000000000896
4;6776;PL88107719980000000000000897
1;6778;PL88102024980000000000000900
2;6778;PL88107719950000000000000901
1;6780;PL88102024980000000000000909
3;6780;PL88107719960000000000000910
3;6780;PL88107719960000000000000911
4;6780;PL88107719980000000000000912
1;6781;PL88102024980000000000000913
3;6781;PL88107719960000000000000914
4;6781;PL88107719980000000000000915
4;6781;PL88107719980000000000000916
4;6781;PL88107719980000000000000917
1;6782;PL88102024980000000000000918
1;6783;PL88102024980000000000000919
2;6783;PL88107719950000000000000921
3;6783;PL88107719960000000000000920
1;6788;PL88102024980000000000000944
2;6788;PL88107719950000000000000948
4;6788;PL88107719980000000000000945
4;6788;PL88107719980000000000000946
4;6788;PL88107719980000000000000947
1;6789;PL88102024980000000000000949
2;6789;PL88107719950000000000000950
2;6789;PL88107719950000000000000951
3;6789;PL88107719960000000000000952
1;6790;PL88102024980000000000000953
2;6790;PL88107719950000000000000955
2;6790;PL88107719950000000000000956
4;6790;PL88107719980000000000000954
1;6792;PL88102024980000000000000961
2;6792;PL88107719950000000000000962
3;6792;PL88107719960000000000000963
4;6792;PL88107719980000000000000964
1;6793;PL88102024980000000000000965
3;6793;PL88107719960000000000000966
1;6794;PL88102024980000000000000967
2;6794;PL88107719950000000000000968
4;6794;PL88107719980000000000000969
4;6794;PL88107719980000000000000970
1;6795;PL88102024980000000000000971
3;6795;PL88107719960000000000000973
3;6795;PL88107719960000000000000974
3;6795;PL88107719960000000000000975
4;6795;PL88107719980000000000000972
1;6799;PL88102024980000000000000986
3;6799;PL88107719960000000000000987
1;6800;PL88102024980000000000000988
2;6800;PL88107719950000000000000990
3;6800;PL88107719960000000000000989
1;6803;PL88102024980000000000001003
2;6803;PL88107719950000000000001004
3;6803;PL88107719960000000000001006
4;6803;PL88107719980000000000001005
1;6806;PL88102024980000000000001015
3;6806;PL88107719960000000000001017
3;6806;PL88107719960000000000001018
4;6806;PL88107719980000000000001016
1;6808;PL88102024980000000000001020
4;6808;PL88107719980000000000001021
1;6811;PL88102024980000000000001030
3;6811;PL88107719960000000000001031
1;6812;PL88102024980000000000001032
2;6812;PL88107719950000000000001033
2;6812;PL88107719950000000000001034
1;6813;PL88102024980000000000001035
2;6813;PL88107719950000000000001036
2;6813;PL88107719950000000000001037
1;6814;PL88102024980000000000001038
2;6814;PL88107719950000000000001039
1;6818;PL88102024980000000000001054
4;6818;PL88107719980000000000001055
1;6820;PL88102024980000000000001058
2;6820;PL88107719950000000000001059
1;6821;PL88102024980000000000001060
2;6821;PL88107719950000000000001062
4;6821;PL88107719980000000000001061
4;6821;PL88107719980000000000001063
4;6821;PL88107719980000000000001064
1;6823;PL88102024980000000000001068
2;6823;PL88107719950000000000001070
3;6823;PL88107719960000000000001069
1;6825;PL88102024980000000000001075
2;6825;PL88107719950000000000001076
3;6825;PL88107719960000000000001077
1;6826;PL88102024980000000000001078
3;6826;PL88107719960000000000001079
1;6832;PL88102024980000000000001096
2;6832;PL88107719950000000000001099
3;6832;PL88107719960000000000001097
4;6832;PL88107719980000000000001098
1;6838;PL88102024980000000000001117
1;6844;PL88102024980000000000001138
3;6844;PL88107719960000000000001139
1;6846;PL88102024980000000000001141
4;6846;PL88107719980000000000001142
1;6847;PL88102024980000000000001143
2;6847;PL88107719950000000000001144
1;6849;PL88102024980000000000001152
4;6849;PL88107719980000000000001153
1;6850;PL88102024980000000000001154
3;6850;PL88107719960000000000001155
4;6850;PL88107719980000000000001156
1;6851;PL88102024980000000000001157
2;6851;PL88107719950000000000001158
2;6851;PL88107719950000000000001159
1;6854;PL88102024980000000000001166
3;6854;PL88107719960000000000001167
4;6854;PL88107719980000000000001168
1;6855;PL88102024980000000000001169
2;6855;PL88107719950000000000001170
2;6855;PL88107719950000000000001171
1;6856;PL88102024980000000000001172
3;6856;PL88107719960000000000001173
4;6856;PL88107719980000000000001174
1;6858;PL88102024980000000000001181
2;6858;PL88107719950000000000001182
1;6859;PL88102024980000000000001183
2;6859;PL88107719950000000000001185
3;6859;PL88107719960000000000001184
3;6859;PL88107719960000000000001186
4;6859;PL88107719980000000000001187
1;6860;PL88102024980000000000001188
3;6860;PL88107719960000000000001189
4;6860;PL88107719980000000000001190
4;6860;PL88107719980000000000001191
4;6860;PL88107719980000000000001192
1;6865;PL88102024980000000000001203
4;6865;PL88107719980000000000001204
1;6866;PL88102024980000000000001205
2;6866;PL88107719950000000000001207
2;6866;PL88107719950000000000001208
3;6866;PL88107719960000000000001209
4;6866;PL88107719980000000000001206
1;6867;PL88102024980000000000001210
4;6867;PL88107719980000000000001211
1;6870;PL88102024980000000000001219
2;6870;PL88107719950000000000001220
3;6870;PL88107719960000000000001221
3;6870;PL88107719960000000000001222
1;6873;PL88102024980000000000001232
2;6873;PL88107719950000000000001234
4;6873;PL88107719980000000000001233
1;6874;PL88102024980000000000001235
2;6874;PL88107719950000000000001236
2;6874;PL88107719950000000000001237
1;6875;PL88102024980000000000001238
4;6875;PL88107719980000000000001239
1;6876;PL88102024980000000000001240
2;6876;PL88107719950000000000001241
3;6876;PL88107719960000000000001242
1;6877;PL88102024980000000000001243
2;6877;PL88107719950000000000001245
3;6877;PL88107719960000000000001244
1;6879;PL88102024980000000000001253
4;6879;PL88107719980000000000001254
1;6880;PL88102024980000000000001255
2;6880;PL88107719950000000000001256
2;6880;PL88107719950000000000001257
1;6881;PL88102024980000000000001258
3;6881;PL88107719960000000000001259
1;6882;PL88102024980000000000001260
2;6882;PL88107719950000000000001261
2;6882;PL88107719950000000000001262
1;6884;PL88102024980000000000001266
2;6884;PL88107719950000000000001267
3;6884;PL88107719960000000000001268
4;6884;PL88107719980000000000001269
1;6887;PL88102024980000000000001277
3;6887;PL88107719960000000000001278
1;6889;PL88102024980000000000001282
1;6892;PL88102024980000000000001290
2;6892;PL88107719950000000000001292
3;6892;PL88107719960000000000001293
4;6892;PL88107719980000000000001291
1;6893;PL88102024980000000000001294
4;6893;PL88107719980000000000001295
1;6897;PL88102024980000000000001303
2;6897;PL88107719950000000000001305
2;6897;PL88107719950000000000001307
3;6897;PL88107719960000000000001304
4;6897;PL88107719980000000000001306
1;6899;PL88102024980000000000001314
2;6899;PL88107719950000000000001315
2;6899;PL88107719950000000000001317
3;6899;PL88107719960000000000001316
1;6900;PL88102024980000000000001318
1;6901;PL88102024980000000000001319
2;6901;PL88107719950000000000001320
1;6902;PL88102024980000000000001321
4;6902;PL88107719980000000000001322
1;6903;PL88102024980000000000001323
4;6903;PL88107719980000000000001324
1;6904;PL88102024980000000000001325
2;6904;PL88107719950000000000001326
1;6905;PL88102024980000000000001327
3;6905;PL88107719960000000000001328
1;6908;PL88102024980000000000001332
3;6908;PL88107719960000000000001333
1;6909;PL88102024980000000000001334
2;6909;PL88107719950000000000001335
1;6912;PL88102024980000000000001343
1;6914;PL88102024980000000000001351
3;6914;PL88107719960000000000001352
1;6917;PL88102024980000000000001358
4;6917;PL88107719980000000000001359
1;6919;PL88102024980000000000001362
4;6919;PL88107719980000000000001363
1;6921;PL88102024980000000000001366
4;6921;PL88107719980000000000001367
1;6922;PL88102024980000000000001368
2;6922;PL88107719950000000000001369
1;6923;PL88102024980000000000001370
2;6923;PL88107719950000000000001371
2;6923;PL88107719950000000000001373
3;6923;PL88107719960000000000001372
1;6925;PL88102024980000000000001377
3;6925;PL88107719960000000000001378
1;6926;PL88102024980000000000001379
3;6926;PL88107719960000000000001380
1;6927;PL88102024980000000000001381
2;6927;PL88107719950000000000001382
4;6927;PL88107719980000000000001383
1;6928;PL88102024980000000000001384
2;6928;PL88107719950000000000001385
4;6928;PL88107719980000000000001386
1;6932;PL88102024980000000000001394
4;6932;PL88107719980000000000001395
1;6934;PL88102024980000000000001400
2;6934;PL88107719950000000000001403
4;6934;PL88107719980000000000001401
4;6934;PL88107719980000000000001402
1;6936;PL88102024980000000000001406
2;6936;PL88107719950000000000001409
3;6936;PL88107719960000000000001407
4;6936;PL88107719980000000000001408
1;6937;PL88102024980000000000001410
3;6937;PL88107719960000000000001411
1;6939;PL88102024980000000000001415
3;6939;PL88107719960000000000001416
1;6947;PL88102024980000000000001435
4;6947;PL88107719980000000000001436
1;6952;PL88102024980000000000001443
4;6952;PL88107719980000000000001444
1;6954;PL88102024980000000000001448
2;6954;PL88107719950000000000001449
1;6956;PL88102024980000000000001456
4;6956;PL88107719980000000000001457
1;6958;PL88102024980000000000001461
3;6958;PL88107719960000000000001462
3;6958;PL88107719960000000000001463
1;6960;PL88102024980000000000001468
1;6961;PL88102024980000000000001469
3;6961;PL88107719960000000000001470
1;6962;PL88102024980000000000001471
3;6962;PL88107719960000000000001472
1;6963;PL88102024980000000000001473
1;6965;PL88102024980000000000001476
3;6965;PL88107719960000000000001478
4;6965;PL88107719980000000000001477
1;6967;PL88102024980000000000001481
3;6967;PL88107719960000000000001482
4;6967;PL88107719980000000000001483
1;6971;PL88102024980000000000001493
2;6971;PL88107719950000000000001494
1;6974;PL88102024980000000000001500
2;6974;PL88107719950000000000001502
3;6974;PL88107719960000000000001503
3;6974;PL88107719960000000000001504
4;6974;PL88107719980000000000001501
1;6975;PL88102024980000000000001505
3;6975;PL88107719960000000000001506
1;6976;PL88102024980000000000001507
3;6976;PL88107719960000000000001508
1;6981;PL88102024980000000000001517
4;6981;PL88107719980000000000001518
1;6985;PL88102024980000000000001525
4;6985;PL88107719980000000000001526
1;6986;PL88102024980000000000001527
2;6986;PL88107719950000000000001528
1;6987;PL88102024980000000000001529
1;6988;PL88102024980000000000001530
1;6989;PL88102024980000000000001531
1;6990;PL88102024980000000000001532
1;6995;PL88102024980000000000001538
1;6996;PL88102024980000000000001539
1;6997;PL88102024980000000000001540
1;6998;PL88102024980000000000001541
4;6998;PL88107719980000000000001542
4;6998;PL88107719980000000000001543
1;6999;PL88102024980000000000001544
2;6999;PL88107719950000000000001545
1;7001;PL88102024980000000000001549
4;7001;PL88107719980000000000001550
1;7002;PL88102024980000000000001551
3;7002;PL88107719960000000000001552
1;7003;PL88102024980000000000001553
4;7003;PL88107719980000000000001554
1;7006;PL88102024980000000000001560
1;7007;PL88102024980000000000001561
2;7007;PL88107719950000000000001562
2;7007;PL88107719950000000000001563
1;7011;PL88102024980000000000001576
4;7011;PL88107719980000000000001577
1;7014;PL88102024980000000000001583
1;7017;PL88102024980000000000001591
2;7017;PL88107719950000000000001592
1;7020;PL88102024980000000000001597
4;7020;PL88107719980000000000001598
1;7022;PL88102024980000000000001601
3;7022;PL88107719960000000000001602
1;7025;PL88102024980000000000001609
2;7025;PL88107719950000000000001610
2;7025;PL88107719950000000000001612
4;7025;PL88107719980000000000001611
1;7026;PL88102024980000000000001613
4;7026;PL88107719980000000000001614
1;7028;PL88102024980000000000001617
3;7028;PL88107719960000000000001618
1;7030;PL88102024980000000000001621
1;7032;PL88102024980000000000001624
2;7032;PL88107719950000000000001625
1;7033;PL88102024980000000000001626
1;7036;PL88102024980000000000001634
3;7036;PL88107719960000000000001635
1;7037;PL88102024980000000000001636
2;7037;PL88107719950000000000001638
4;7037;PL88107719980000000000001637
1;7038;PL88102024980000000000001639
2;7038;PL88107719950000000000001640
1;7039;PL88102024980000000000001641
4;7039;PL88107719980000000000001642
1;7040;PL88102024980000000000001643
3;7040;PL88107719960000000000001644
1;7041;PL88102024980000000000001645
2;7041;PL88107719950000000000001646
2;7041;PL88107719950000000000001647
1;7042;PL88102024980000000000001648
2;7042;PL88107719950000000000001649
1;7043;PL88102024980000000000001650
4;7043;PL88107719980000000000001651
4;7043;PL88107719980000000000001652
1;7044;PL88102024980000000000001653
2;7044;PL88107719950000000000001654
2;7044;PL88107719950000000000001655
2;7044;PL88107719950000000000001656
1;7045;PL88102024980000000000001657
4;7045;PL88107719980000000000001658
1;7047;PL88102024980000000000001662
4;7047;PL88107719980000000000001663
4;7047;PL88107719980000000000001664
1;7049;PL88102024980000000000001667
2;7049;PL88107719950000000000001668
1;7052;PL88102024980000000000001674
2;7052;PL88107719950000000000001675
1;7053;PL88102024980000000000001676
1;7055;PL88102024980000000000001678
2;7055;PL88107719950000000000001679
1;7056;PL88102024980000000000001680
1;7057;PL88102024980000000000001681
3;7057;PL88107719960000000000001682
4;7057;PL88107719980000000000001683
1;7058;PL88102024980000000000001684
3;7058;PL88107719960000000000001685
1;7061;PL88102024980000000000001688
1;7063;PL88102024980000000000001691
1;7065;PL88102024980000000000001693
4;7065;PL88107719980000000000001694
4;7065;PL88107719980000000000001695
1;7066;PL88102024980000000000001696
2;7066;PL88107719950000000000001697
2;7066;PL88107719950000000000001698
1;7068;PL88102024980000000000001701
1;7069;PL88102024980000000000001702
3;7069;PL88107719960000000000001703
4;7069;PL88107719980000000000001704
1;7070;PL88102024980000000000001705
2;7070;PL88107719950000000000001707
3;7070;PL88107719960000000000001706
1;7071;PL88102024980000000000001708
2;7071;PL88107719950000000000001709
1;7075;PL88102024980000000000001719
4;7075;PL88107719980000000000001720
1;7076;PL88102024980000000000001721
2;7076;PL88107719950000000000001722
4;7076;PL88107719980000000000001723
1;7079;PL88102024980000000000001735
2;7079;PL88107719950000000000001736
1;7081;PL88102024980000000000001738
4;7081;PL88107719980000000000001739
1;7083;PL88102024980000000000001741
2;7083;PL88107719950000000000001742
1;7085;PL88102024980000000000001746
3;7085;PL88107719960000000000001747
1;7086;PL88102024980000000000001748
4;7086;PL88107719980000000000001749
4;7086;PL88107719980000000000001750
1;7087;PL88102024980000000000001751
2;7087;PL88107719950000000000001753
4;7087;PL88107719980000000000001752
1;7090;PL88102024980000000000001761
2;7090;PL88107719950000000000001762
3;7090;PL88107719960000000000001763
4;7090;PL88107719980000000000001764
4;7090;PL88107719980000000000001765
1;7091;PL88102024980000000000001766
2;7091;PL88107719950000000000001767
1;7092;PL88102024980000000000001768
2;7092;PL88107719950000000000001770
3;7092;PL88107719960000000000001771
4;7092;PL88107719980000000000001769
1;7094;PL88102024980000000000001774
1;7095;PL88102024980000000000001775
3;7095;PL88107719960000000000001776
3;7095;PL88107719960000000000001777
1;7096;PL88102024980000000000001778
3;7096;PL88107719960000000000001779
1;7097;PL88102024980000000000001780
1;7100;PL88102024980000000000001787
2;7100;PL88107719950000000000001788
2;7100;PL88107719950000000000001789
2;7100;PL88107719950000000000001790
3;7100;PL88107719960000000000001791
1;7101;PL88102024980000000000001792
4;7101;PL88107719980000000000001793
1;7103;PL88102024980000000000001797
2;7103;PL88107719950000000000001799
4;7103;PL88107719980000000000001798
1;7104;PL88102024980000000000001800
2;7104;PL88107719950000000000001801
1;7105;PL88102024980000000000001802
3;7105;PL88107719960000000000001803
1;7106;PL88102024980000000000001804
2;7106;PL88107719950000000000001805
1;7110;PL88102024980000000000001815
2;7110;PL88107719950000000000001816
3;7110;PL88107719960000000000001817
4;7110;PL88107719980000000000001818
1;7112;PL88102024980000000000001821
4;7112;PL88107719980000000000001822
1;7113;PL88102024980000000000001823
3;7113;PL88107719960000000000001824
3;7113;PL88107719960000000000001825
3;7113;PL88107719960000000000001826
1;7114;PL88102024980000000000001827
3;7114;PL88107719960000000000001828
1;7115;PL88102024980000000000001829
2;7115;PL88107719950000000000001832
3;7115;PL88107719960000000000001831
4;7115;PL88107719980000000000001830
4;7115;PL88107719980000000000001833
1;7116;PL88102024980000000000001834
2;7116;PL88107719950000000000001836
3;7116;PL88107719960000000000001835
3;7116;PL88107719960000000000001837
1;7120;PL88102024980000000000001844
3;7120;PL88107719960000000000001845
1;7121;PL88102024980000000000001846
2;7121;PL88107719950000000000001847
3;7121;PL88107719960000000000001848
1;7123;PL88102024980000000000001853
2;7123;PL88107719950000000000001854
1;7128;PL88102024980000000000001861
1;7130;PL88102024980000000000001863
4;7130;PL88107719980000000000001864
1;7132;PL88102024980000000000001867
3;7132;PL88107719960000000000001868
1;7134;PL88102024980000000000001871
1;7135;PL88102024980000000000001872
3;7135;PL88107719960000000000001875
4;7135;PL88107719980000000000001873
4;7135;PL88107719980000000000001874
1;7140;PL88102024980000000000001884
2;7140;PL88107719950000000000001885
1;7143;PL88102024980000000000001891
2;7143;PL88107719950000000000001894
4;7143;PL88107719980000000000001892
4;7143;PL88107719980000000000001893
1;7145;PL88102024980000000000001896
2;7145;PL88107719950000000000001897
2;7145;PL88107719950000000000001898
2;7145;PL88107719950000000000001899
1;7149;PL88102024980000000000001909
1;7153;PL88102024980000000000001914
2;7153;PL88107719950000000000001915
1;7154;PL88102024980000000000001916
3;7154;PL88107719960000000000001917
1;7157;PL88102024980000000000001922
2;7157;PL88107719950000000000001923
2;7157;PL88107719950000000000001924
1;7158;PL88102024980000000000001925
2;7158;PL88107719950000000000001926
4;7158;PL88107719980000000000001927
1;7159;PL88102024980000000000001928
2;7159;PL88107719950000000000001930
4;7159;PL88107719980000000000001929
1;7160;PL88102024980000000000001931
4;7160;PL88107719980000000000001932
1;7161;PL88102024980000000000001933
3;7161;PL88107719960000000000001934
1;7162;PL88102024980000000000001935
1;7163;PL88102024980000000000001936
3;7163;PL88107719960000000000001938
4;7163;PL88107719980000000000001937
1;7165;PL88102024980000000000001941
4;7165;PL88107719980000000000001942
4;7165;PL88107719980000000000001943
1;7168;PL88102024980000000000001951
2;7168;PL88107719950000000000001952
1;7169;PL88102024980000000000001953
3;7169;PL88107719960000000000001954
3;7169;PL88107719960000000000001955
1;7170;PL88102024980000000000001956
1;7172;PL88102024980000000000001958
4;7172;PL88107719980000000000001959
4;7172;PL88107719980000000000001960
1;7173;PL88102024980000000000001961
3;7173;PL88107719960000000000001962
1;7175;PL88102024980000000000001964
2;7175;PL88107719950000000000001966
3;7175;PL88107719960000000000001967
4;7175;PL88107719980000000000001965
1;7176;PL88102024980000000000001968
3;7176;PL88107719960000000000001969
1;7177;PL88102024980000000000001970
4;7177;PL88107719980000000000001971
4;7177;PL88107719980000000000001972
1;7180;PL88102024980000000000001978
2;7180;PL88107719950000000000001979
1;7181;PL88102024980000000000001980
1;7183;PL88102024980000000000001983
2;7183;PL88107719950000000000001984
1;7185;PL88102024980000000000001986
4;7185;PL88107719980000000000001987
1;7186;PL88102024980000000000001988
2;7186;PL88107719950000000000001989
3;7186;PL88107719960000000000001991
4;7186;PL88107719980000000000001990
1;7191;PL88102024980000000000002004
2;7191;PL88107719950000000000002005
2;7191;PL88107719950000000000002006
3;7191;PL88107719960000000000002007
1;7193;PL88102024980000000000002011
3;7193;PL88107719960000000000002012
1;7194;PL88102024980000000000002013
3;7194;PL88107719960000000000002014
3;7194;PL88107719960000000000002016
4;7194;PL88107719980000000000002015
1;7198;PL88102024980000000000002023
2;7198;PL88107719950000000000002024
2;7198;PL88107719950000000000002025
1;7205;PL88102024980000000000002045
1;7206;PL88102024980000000000002046
2;7206;PL88107719950000000000002047
2;7206;PL88107719950000000000002049
4;7206;PL88107719980000000000002048
1;7208;PL88102024980000000000002052
1;7210;PL88102024980000000000002055
2;7210;PL88107719950000000000002056
4;7210;PL88107719980000000000002057
1;7213;PL88102024980000000000002061
1;7216;PL88102024980000000000002065
2;7216;PL88107719950000000000002066
1;7217;PL88102024980000000000002067
3;7217;PL88107719960000000000002068
1;7218;PL88102024980000000000002069
4;7218;PL88107719980000000000002070
4;7218;PL88107719980000000000002071
4;7218;PL88107719980000000000002072
1;7221;PL88102024980000000000002076
2;7221;PL88107719950000000000002077
2;7221;PL88107719950000000000002078
1;7223;PL88102024980000000000002080
1;7224;PL88102024980000000000002081
4;7224;PL88107719980000000000002082
1;7225;PL88102024980000000000002083
1;7227;PL88102024980000000000002086
2;7227;PL88107719950000000000002088
2;7227;PL88107719950000000000002090
3;7227;PL88107719960000000000002089
4;7227;PL88107719980000000000002087
1;7228;PL88102024980000000000002091
4;7228;PL88107719980000000000002092
1;7230;PL88102024980000000000002095
3;7230;PL88107719960000000000002096
1;7232;PL88102024980000000000002098
4;7232;PL88107719980000000000002099
4;7232;PL88107719980000000000002100
1;7235;PL88102024980000000000002105
4;7235;PL88107719980000000000002106
1;7237;PL88102024980000000000002110
4;7237;PL88107719980000000000002111
1;7238;PL88102024980000000000002112
4;7238;PL88107719980000000000002113
1;7240;PL88102024980000000000002118
3;7240;PL88107719960000000000002119
1;7242;PL88102024980000000000002123
3;7242;PL88107719960000000000002124
1;7250;PL88102024980000000000002148
3;7250;PL88107719960000000000002149
1;7251;PL88102024980000000000002150
3;7251;PL88107719960000000000002151
1;7252;PL88102024980000000000002152
3;7252;PL88107719960000000000002153
1;7257;PL88102024980000000000002171
1;7259;PL88102024980000000000002174
2;7259;PL88107719950000000000002175
1;7262;PL88102024980000000000002180
1;7264;PL88102024980000000000002182
2;7264;PL88107719950000000000002184
3;7264;PL88107719960000000000002183
1;7267;PL88102024980000000000002189
3;7267;PL88107719960000000000002190
1;7269;PL88102024980000000000002195
3;7269;PL88107719960000000000002196
4;7269;PL88107719980000000000002197
1;7271;PL88102024980000000000002202
3;7271;PL88107719960000000000002203
4;7271;PL88107719980000000000002204
1;7272;PL88102024980000000000002205
1;7273;PL88102024980000000000002206
3;7273;PL88107719960000000000002207
1;7276;PL88102024980000000000002212
2;7276;PL88107719950000000000002214
2;7276;PL88107719950000000000002215
3;7276;PL88107719960000000000002213
1;7281;PL88102024980000000000002229
2;7281;PL88107719950000000000002230
1;7282;PL88102024980000000000002231
2;7282;PL88107719950000000000002232
3;7282;PL88107719960000000000002233
1;7284;PL88102024980000000000002237
1;7289;PL88102024980000000000002247
1;7291;PL88102024980000000000002251
2;7291;PL88107719950000000000002252
1;7292;PL88102024980000000000002253
4;7292;PL88107719980000000000002254
1;7296;PL88102024980000000000002260
2;7296;PL88107719950000000000002261
2;7296;PL88107719950000000000002262
3;7296;PL88107719960000000000002263
1;7300;PL88102024980000000000002269
3;7300;PL88107719960000000000002270
1;7301;PL88102024980000000000002271
4;7301;PL88107719980000000000002272
1;7302;PL88102024980000000000002273
4;7302;PL88107719980000000000002274
1;7303;PL88102024980000000000002275
4;7303;PL88107719980000000000002276
1;7304;PL88102024980000000000002277
4;7304;PL88107719980000000000002278
4;7304;PL88107719980000000000002279
1;7305;PL88102024980000000000002280
3;7305;PL88107719960000000000002281
1;7308;PL88102024980000000000002287
1;7310;PL88102024980000000000002290
2;7310;PL88107719950000000000002291
2;7310;PL88107719950000000000002292
1;7311;PL88102024980000000000002293
1;7313;PL88102024980000000000002298
3;7313;PL88107719960000000000002299
3;7313;PL88107719960000000000002300
4;7313;PL88107719980000000000002301
4;7313;PL88107719980000000000002302
1;7322;PL88102024980000000000002322
2;7322;PL88107719950000000000002324
3;7322;PL88107719960000000000002323
3;7322;PL88107719960000000000002326
4;7322;PL88107719980000000000002325
1;7327;PL88102024980000000000002334
2;7327;PL88107719950000000000002335
1;7329;PL88102024980000000000002338
4;7329;PL88107719980000000000002339
1;7331;PL88102024980000000000002343
2;7331;PL88107719950000000000002345
3;7331;PL88107719960000000000002344
4;7331;PL88107719980000000000002346
1;7334;PL88102024980000000000002355
3;7334;PL88107719960000000000002357
4;7334;PL88107719980000000000002356
1;7337;PL88102024980000000000002361
1;7339;PL88102024980000000000002365
3;7339;PL88107719960000000000002366
1;7340;PL88102024980000000000002367
2;7340;PL88107719950000000000002368
2;7340;PL88107719950000000000002369
1;7341;PL88102024980000000000002370
1;7346;PL88102024980000000000002380
3;7346;PL88107719960000000000002381
3;7346;PL88107719960000000000002382
1;7347;PL88102024980000000000002383
1;7348;PL88102024980000000000002384
3;7348;PL88107719960000000000002385
1;7350;PL88102024980000000000002387
3;7350;PL88107719960000000000002388
1;7351;PL88102024980000000000002389
1;7354;PL88102024980000000000002393
2;7354;PL88107719950000000000002394
3;7354;PL88107719960000000000002396
4;7354;PL88107719980000000000002395
1;7358;PL88102024980000000000002407
4;7358;PL88107719980000000000002408
